APM,Accuracy_%,Distance_Traveled_m,Damage_Dealt,Time_to_Kill_ms,Consumables_Used
157.48,54.5,7410.47,1338.62,2312.3,13.5
187.53,60.2,6346.33,1145.04,1838.33,11.61
163.24,33.49,7598.33,1005.74,3395.58,17.54
66.55,16.98,2597.41,365.59,4162.79,3.94
90.59,15.7,2876.47,279.04,3473.08,3.36
74.86,24.75,2706.78,432.5,5092.55,1.94
266.54,61.16,3394.43,2871.91,916.57,7.44
69.88,10.09,2232.66,322.26,3736.73,3.51
87.13,28.2,2914.52,436.19,3995.41,1.33
81.97,26.97,2589.31,321.68,4794.47,2.61
59.04,7.77,2579.47,259.66,3881.16,3.26
71.09,17.44,2661.69,577.24,3730.2,1.62
95.58,23.33,2268.35,263.08,3744.12,1.48
136.06,46.13,7566.57,1331.54,2669.38,18.69
165.23,34.97,6828.06,1177.21,3209.16,12.76
66.44,21.89,2457.09,372.42,3400.8,3.27
76.66,24.1,2716.36,440.18,3897.36,4.67
70.79,28.61,2589.26,369.16,3683.38,3.77
150.8,47.27,6486.81,1020.75,2259.99,13.84
109.12,20.12,2697.42,437.43,3590.7,2.68
180.47,38.23,7397.36,1437.19,2222.09,12.23
114.09,20.42,2278.76,331.04,4343.97,4.67
59.21,27.01,1956.99,398.52,4401.58,4.01
163.91,44.04,6389.82,1738.56,2158.69,16.08
111.29,14.0,2697.88,498.92,3597.45,3.22
129.12,36.81,6831.1,431.3,2617.21,13.22
59.42,16.28,2204.78,608.98,4364.53,2.03
69.0,11.11,2321.62,287.6,4100.42,2.02
52.73,27.48,2060.55,307.96,3089.62,2.45
146.4,55.25,6771.2,1019.87,2682.06,14.81
86.27,8.72,2878.35,612.13,3954.46,3.08
153.06,38.45,6433.27,939.1,2336.0,21.04
242.3,69.59,4977.57,3950.63,1116.68,8.79
245.32,60.31,4811.42,4250.72,1153.62,8.79
164.81,45.17,7654.31,1220.8,2898.68,14.53
251.84,65.35,6039.44,3874.27,1197.54,11.0
76.27,12.54,2377.75,524.74,4739.04,3.02
258.08,65.59,4256.44,3742.4,1206.97,5.92
125.71,39.58,6294.5,1620.48,2563.39,20.17
168.98,42.17,6476.99,1196.37,2616.88,15.66
69.36,17.4,2261.35,388.62,3904.88,2.43
66.26,7.6,1691.28,51.95,3795.1,3.31
62.7,16.84,2622.96,328.63,3976.87,4.24
104.95,47.61,8009.54,1653.35,1936.02,17.5
255.15,67.74,4524.26,2667.23,1296.82,6.75
75.8,26.65,1551.34,198.99,5286.0,1.38
80.88,34.67,2176.25,511.37,4357.87,2.84
144.77,42.42,6689.19,874.25,2166.41,12.27
72.21,16.33,1685.51,6.28,4306.89,3.24
243.82,61.46,3982.38,3490.35,1270.71,10.35
144.91,59.18,5494.52,1215.27,2914.44,16.39
180.33,48.73,8048.25,949.46,2591.15,13.53
69.06,25.47,2474.94,236.18,4200.12,3.42
176.81,42.92,7221.9,1433.68,2736.72,17.24
93.34,22.72,2778.35,481.51,3693.51,3.44
184.76,52.06,7510.44,1464.7,2664.67,20.22
203.63,59.83,6210.26,1142.69,2102.06,15.37
77.91,33.28,2623.07,453.44,4344.58,4.72
101.76,12.32,2063.15,213.32,3451.89,3.36
83.43,30.0,2697.19,269.76,4409.69,2.98
87.37,16.11,2694.92,341.22,3406.12,2.93
180.01,49.11,6869.55,1395.14,2860.02,14.14
134.86,47.59,7689.91,905.65,2867.07,16.37
181.56,55.72,8161.97,1510.57,2683.74,22.24
92.92,21.0,2558.33,434.12,3334.65,0.73
51.38,28.26,2154.6,256.18,3788.12,3.7
77.79,19.36,2743.56,431.71,4322.3,2.11
114.93,45.71,5735.05,1101.41,2743.42,13.95
59.51,28.66,1835.57,329.73,3743.73,1.1
254.84,69.77,3732.94,3611.99,1417.05,12.15
73.83,15.57,3162.48,463.8,4048.91,3.37
154.58,54.12,7178.59,1259.68,2777.28,15.58
135.59,47.71,6523.47,824.28,2239.51,18.65
90.69,16.0,2938.92,476.52,4514.72,2.6
181.19,44.03,6287.05,1046.04,2581.45,8.7
240.73,67.85,4855.81,3761.75,1171.97,10.63
210.25,63.07,5059.79,4008.62,1378.26,9.7
226.63,63.45,4011.22,3560.12,1227.99,7.88
254.18,54.87,5314.31,3829.27,1432.58,5.55
214.74,67.02,3970.39,3778.48,1120.35,10.76
87.98,20.24,2247.99,289.15,3935.48,0.7
82.22,6.22,2914.18,444.25,3433.08,1.96
72.75,10.39,2256.94,331.95,3309.7,2.68
83.36,12.46,2619.86,310.35,3593.59,2.8
73.83,13.24,1759.26,474.46,3907.04,3.75
151.01,41.37,5732.69,1692.8,2902.14,18.14
102.42,25.21,3008.76,525.66,4226.79,3.3
97.06,12.89,2182.99,510.88,4139.4,2.35
134.86,52.99,6381.7,1399.89,2584.19,15.88
68.71,20.51,2696.6,255.6,4900.72,3.02
230.51,67.6,4644.89,3269.74,1296.41,3.0
112.88,48.43,6704.31,1231.31,2629.89,11.71
66.83,13.17,2616.36,222.54,4546.05,3.63
150.85,37.01,8012.57,719.73,2588.27,15.72
249.31,68.41,4750.46,3545.69,1291.18,12.81
65.93,8.8,1953.75,391.39,3843.67,2.76
63.24,11.44,1735.34,517.6,3465.37,3.39
144.38,65.72,6958.89,1476.5,3126.53,13.38
64.09,20.61,2717.69,87.12,3749.9,0.85
82.37,24.13,2401.45,649.8,3924.69,3.72
90.18,18.95,2123.84,315.72,3000.56,2.08
251.99,68.12,4629.86,3284.1,1434.83,7.87
164.22,35.64,6973.42,828.27,2368.97,19.66
62.7,13.05,2106.14,92.45,4348.16,3.51
272.86,66.62,4549.67,3354.56,1133.03,8.4
127.81,41.57,6888.44,1075.96,2528.6,16.63
68.24,37.58,2577.94,255.08,3864.34,3.64
92.23,5.46,2177.93,506.71,3935.73,4.15
188.21,50.68,7508.33,1032.51,2637.18,15.29
71.97,25.26,2316.54,485.02,5041.33,3.52
257.51,59.61,4843.03,3449.69,1121.57,8.24
170.84,43.37,8420.25,1698.44,2250.45,19.72
266.25,63.74,4443.84,3214.86,1108.08,7.28
78.09,35.29,2959.87,518.49,4852.3,2.28
105.54,29.18,2218.11,355.12,3890.17,2.47
83.79,26.72,2640.15,332.72,4481.95,3.67
136.16,40.74,7086.85,1664.71,2747.81,16.03
96.24,23.5,2304.69,498.66,3632.88,2.77
174.9,48.28,5485.11,1798.7,2312.7,10.45
75.05,22.21,2316.95,509.64,3391.55,2.89
262.23,70.16,4752.02,3057.39,1378.35,8.52
243.15,68.74,3800.72,3218.26,1204.31,12.18
75.73,27.64,2481.05,73.27,3862.6,5.93
66.91,16.52,2290.51,253.78,5293.95,2.84
163.95,44.38,7400.68,1064.37,2423.51,14.04
103.83,3.27,2772.09,290.77,3729.5,1.46
74.17,11.78,2372.7,571.64,3382.74,2.39
48.07,24.14,2370.37,542.32,3547.53,2.48
262.51,60.8,4669.25,3571.08,1317.87,8.36
69.58,22.19,1765.46,329.3,4008.01,1.52
180.21,38.63,6142.51,898.81,2106.33,11.27
142.09,34.15,7623.73,1245.53,2085.69,10.35
135.89,43.72,7497.77,751.04,2488.21,15.22
86.77,20.28,2049.58,394.19,4031.17,4.9
72.93,16.26,2753.33,389.57,3929.24,2.86
228.85,61.74,4858.77,3329.25,1084.83,9.29
122.42,38.38,6620.93,1071.23,2507.62,13.63
250.1,69.06,4062.19,3869.61,1380.98,9.83
81.09,9.2,2205.92,564.41,4074.8,2.19
97.59,25.76,2383.3,457.63,4208.73,1.6
265.04,64.35,4875.69,3477.22,1229.11,10.1
200.15,38.98,6939.39,765.11,2929.41,15.23
133.3,43.54,7557.56,1741.3,2671.18,15.55
85.83,24.85,3151.86,408.38,3932.91,2.49
83.87,21.28,2069.33,397.89,4105.15,4.2
251.37,60.51,3669.24,3108.65,1482.17,8.84
143.08,59.71,6606.69,1454.73,2356.15,17.96
167.97,53.88,6753.63,1275.06,2143.1,15.99
205.26,36.04,7015.08,1415.46,2399.78,13.54
82.93,31.68,2148.29,245.89,4267.18,2.85
211.62,63.91,4635.23,3584.41,1153.83,7.62
227.87,48.79,4150.14,3486.9,1432.13,10.3
70.74,27.4,1529.44,479.03,3704.36,1.95
259.65,62.37,5635.35,3744.23,1192.84,4.86
70.13,33.0,1933.51,541.78,4627.17,2.25
73.85,23.73,2658.32,387.59,3682.3,3.07
253.07,71.77,4010.62,3772.6,1296.13,9.1
110.7,14.84,2850.47,276.47,4559.27,2.1
116.72,50.54,7224.13,1660.03,2757.88,13.94
251.2,69.13,4380.53,3282.03,1237.41,9.74
90.82,14.68,2068.11,402.91,4349.46,2.16
259.47,61.61,3894.49,2818.97,870.18,8.91
138.92,51.72,6844.07,1048.75,2757.54,16.6
76.82,13.8,2574.28,302.4,4681.69,4.94
159.71,36.42,7437.03,720.56,2495.85,16.79
159.83,54.32,6832.62,1255.42,2935.98,14.28
114.07,23.01,2932.02,500.64,3053.62,3.04
95.35,25.38,2965.14,446.36,3625.95,1.62
170.96,52.23,6912.31,791.05,2933.09,12.22
50.73,28.68,2955.82,331.05,4042.26,4.19
73.73,26.01,1871.65,221.66,4903.8,2.86
255.94,63.93,4198.01,2937.34,1236.5,6.31
177.15,47.58,6044.86,1106.08,2094.68,17.75
64.78,20.68,2653.37,279.41,4094.24,2.16
159.53,52.62,7699.51,1243.02,2767.07,14.29
259.46,66.71,4270.32,3833.57,1425.51,6.04
40.95,31.48,2614.32,533.06,4225.31,4.62
134.66,37.36,7202.99,1204.28,2792.75,20.71
168.55,35.57,7762.5,1060.68,2828.94,6.76
156.02,39.77,6473.51,1405.07,2653.24,16.4
245.32,58.11,4274.97,3665.37,1134.83,9.4
102.34,24.97,2114.32,231.99,4366.53,4.08
88.28,4.48,2464.76,265.33,4199.07,1.5
245.31,68.15,3808.6,3426.04,1077.46,8.69
119.39,50.94,6890.1,794.2,2231.48,13.17
83.25,11.48,2110.35,190.68,4428.95,2.59
92.61,19.39,2604.83,559.4,3808.77,3.8
188.55,46.71,7831.29,1174.97,2600.16,12.14
80.28,27.82,1879.4,392.27,3481.85,2.55
156.71,46.52,5396.91,1014.82,2524.6,17.01
233.83,75.67,4121.82,3011.15,1302.28,8.76
249.47,70.49,4474.88,3461.31,1232.87,8.43
249.28,70.82,3742.4,3362.92,993.1,8.15
266.44,66.12,3480.94,3486.0,1098.54,10.77
92.63,22.86,2475.84,362.71,5137.91,2.82
65.82,21.48,2550.51,107.59,4379.41,2.74
96.52,21.21,2306.87,378.51,3113.02,3.4
161.87,42.98,7114.35,1199.79,2103.26,13.35
148.24,52.35,6141.81,1423.26,2610.24,14.85
211.73,68.26,5138.84,3049.8,1229.48,6.62
64.42,21.05,2896.07,505.52,3565.36,2.12
78.55,19.0,2894.55,271.57,3616.94,1.27
91.58,18.73,1882.75,357.24,3993.35,3.37
235.71,59.99,4294.06,4552.95,1367.59,10.02
37.52,22.97,2778.47,451.61,5021.09,3.63
78.79,12.28,3013.53,387.84,4190.87,3.0
151.42,45.91,5416.56,1092.5,2552.56,14.16
83.03,22.25,1884.97,521.34,4304.76,2.66
134.76,58.56,7988.9,1035.51,2674.61,14.79
63.94,5.87,2255.66,243.08,3471.98,4.02
106.42,24.58,2421.23,614.1,3620.51,5.7
82.67,31.58,2512.96,394.55,3848.19,2.3
95.73,28.36,2318.08,397.51,3208.79,3.39
67.96,24.08,2827.97,217.11,4080.85,3.72
109.66,37.62,7155.79,1210.25,2484.94,13.25
88.55,19.09,2928.77,247.34,3801.34,0.48
65.18,24.08,2707.96,0.0,3463.34,1.79
82.84,19.15,2028.22,543.68,5034.11,2.72
119.4,48.75,6177.86,1646.96,2579.05,14.11
270.07,57.85,4878.75,4101.6,1250.17,10.32
281.29,65.05,5183.44,3351.42,1090.36,5.43
65.27,11.33,1364.37,268.23,4269.22,3.21
255.92,69.5,3981.38,3630.45,1174.93,8.16
101.28,24.1,2703.44,360.16,4786.87,1.37
203.93,37.77,6498.63,1558.23,2484.06,13.18
64.6,26.85,3279.34,502.84,3149.05,1.51
152.99,28.03,7416.9,1570.73,2222.37,11.69
154.23,50.89,8043.47,1674.16,2760.75,15.76
70.58,21.27,3103.65,86.45,3697.42,1.25
142.63,44.34,6785.18,1422.25,2805.3,16.1
245.53,61.2,4590.93,3723.92,1199.46,6.02
140.68,44.34,7480.97,912.85,2409.39,18.82
253.43,64.43,4483.65,4167.61,1301.22,7.08
81.16,12.25,1830.84,422.33,4581.13,2.02
107.11,9.66,2554.14,434.93,3966.06,2.09
264.28,65.75,4624.11,3932.31,1026.25,9.88
86.29,9.64,2588.62,74.26,4852.05,3.38
79.19,17.32,2049.0,598.06,3244.98,2.19
195.65,41.55,7325.64,1338.78,3027.59,14.44
154.01,45.19,7246.44,1231.77,2287.13,15.89
146.19,54.19,8292.47,1092.77,3015.81,13.05
96.18,45.69,6988.44,1376.57,1924.1,15.54
197.61,60.09,5322.48,2937.0,1195.03,9.99
166.83,55.52,7154.87,1322.6,2665.98,11.68
146.04,44.82,7071.66,1557.75,2377.57,14.08
238.75,68.79,4125.76,3551.69,977.17,8.4
146.54,58.12,7680.72,891.19,2147.32,12.53
87.05,12.2,1447.71,642.45,4061.74,1.26
277.12,58.76,4389.52,3542.57,1141.84,5.76
98.0,23.52,3367.97,326.84,3971.05,2.25
90.23,29.28,2453.91,325.52,3234.23,2.82
164.71,38.25,6533.79,1660.12,2089.86,14.22
48.09,18.72,3155.34,419.29,4268.21,2.44
293.81,58.93,3597.56,3426.41,971.52,5.71
78.58,36.13,2454.61,481.87,3304.02,2.25
304.4,60.96,5071.88,3748.27,1314.06,5.79
82.35,20.35,2837.24,381.5,4545.09,3.03
56.79,19.57,2248.05,439.84,4243.89,0.47
152.05,26.1,6929.31,1256.91,2123.05,14.91
87.83,26.21,2590.67,630.17,4053.53,3.1
70.89,32.99,3047.88,649.56,4016.95,4.25
74.96,30.27,3625.86,391.39,3988.98,3.47
281.0,64.26,4523.7,3689.04,1124.69,9.93
176.0,57.17,7758.02,855.36,2799.06,13.0
99.15,21.8,1906.38,382.8,3251.92,3.3
84.65,10.95,2410.27,578.97,5162.34,2.28
72.06,28.36,2627.41,432.9,3329.47,3.75
86.15,43.5,7301.68,930.36,2086.71,13.23
67.04,28.81,2993.9,398.78,3942.45,4.12
134.76,41.59,6865.48,1829.92,2431.06,16.18
164.66,49.01,6992.56,941.17,2078.33,6.03
233.22,71.33,4446.48,3505.57,1075.15,7.95
85.51,15.15,2593.54,319.79,3591.16,2.8
279.56,72.93,3696.78,3290.19,1126.58,7.36
186.78,57.92,6985.03,873.83,3286.24,14.91
74.18,18.04,2692.3,342.15,4159.98,1.33
254.28,58.4,4739.49,3608.63,1162.92,6.8
266.45,75.72,5251.18,3095.16,1194.8,7.03
47.71,12.7,2963.75,146.4,4513.45,3.46
61.97,19.21,2884.79,319.35,3930.74,2.97
100.19,30.7,1607.81,71.31,3691.39,2.2
246.29,64.7,4517.63,3281.26,972.64,2.3
107.44,18.94,2474.75,327.56,4865.58,2.83
69.08,18.63,2189.4,545.17,3721.43,3.32
74.89,23.46,2519.0,782.35,4187.73,2.53
86.48,14.32,1892.44,495.6,4453.98,3.76
76.43,22.25,2899.05,209.5,4626.27,3.03
267.13,67.46,4261.17,3583.08,893.74,5.33
255.2,62.64,3264.18,3707.06,1477.0,7.65
59.97,10.39,2737.03,456.91,3362.88,3.84
240.69,70.68,3937.68,3477.77,1134.04,8.4
260.85,84.26,4757.22,4098.42,1065.81,6.93
88.35,16.49,1953.26,367.89,4366.41,2.52
179.77,48.62,6725.45,730.73,2407.46,11.5
257.14,68.31,4022.23,3048.38,1120.37,7.3
133.72,46.91,7896.82,1529.15,2264.57,11.56
52.13,9.68,2476.99,414.67,4211.94,2.02
102.55,16.15,2581.29,354.16,4207.91,3.59
73.82,22.18,2840.03,259.08,4146.77,3.85
86.76,10.55,2419.86,502.95,3463.16,3.9
100.61,53.64,6264.49,1596.39,2644.81,20.11
257.23,72.21,4362.47,3998.43,1173.46,7.91
86.54,31.3,2449.93,496.68,3574.23,2.11
84.26,15.65,1950.64,387.86,5467.83,2.55
154.26,36.46,7078.39,1405.9,2516.48,14.52
136.34,46.35,5291.46,1466.07,1709.28,12.85
265.74,72.66,5537.7,3548.8,1399.37,12.58
145.68,43.09,7474.85,1304.3,2511.47,13.09
86.56,18.44,2728.47,329.63,4462.84,3.61
149.62,55.54,6956.08,1331.02,2195.83,13.41
89.05,15.9,2930.14,565.59,3517.11,2.95
223.59,57.96,4398.48,3197.85,1096.21,5.12
87.1,19.13,2856.52,97.4,3653.82,2.66
42.68,17.11,2327.88,340.02,4228.34,0.49
88.59,27.57,3042.63,473.39,4023.04,2.62
80.62,22.95,2455.67,298.12,3208.89,2.22
279.31,76.57,5530.37,3183.81,1122.41,9.05
92.45,29.47,1358.15,327.38,3747.02,3.3
62.68,28.35,2326.89,507.76,4397.3,2.51
131.16,42.93,7345.54,1626.71,2480.94,16.15
87.59,9.27,2618.11,297.79,4304.37,2.18
78.89,14.4,2629.74,314.58,4051.43,1.6
190.98,32.24,7289.2,1027.92,2389.14,13.41
179.34,43.65,6672.57,1326.29,2434.59,13.6
69.85,22.15,2249.47,380.7,4413.62,0.91
93.51,22.97,2157.26,543.29,3487.07,2.23
91.63,14.18,2354.75,223.46,4020.64,2.33
93.39,28.93,2333.35,183.46,3541.01,1.73
244.02,62.0,4655.63,4200.91,1233.57,7.14
239.93,68.14,4047.84,3188.68,1190.14,8.66
104.09,46.41,6352.32,772.81,2383.86,12.69
256.58,67.94,3959.23,3350.07,1146.11,8.48
83.33,13.59,2105.78,499.94,4074.73,3.06
153.54,44.71,8116.55,1826.86,2716.47,14.15
131.11,38.61,7295.71,812.02,2316.33,11.99
95.92,23.6,1860.85,160.62,4541.06,3.14
86.66,11.74,2540.99,206.42,3614.4,4.18
60.68,17.55,2363.76,547.4,4170.91,4.24
122.69,47.35,6753.57,1104.05,2264.2,14.47
56.77,19.69,2988.11,273.15,4542.1,1.89
108.67,21.02,2701.79,471.01,3871.53,2.81
105.44,14.88,2975.44,352.19,3981.71,2.19
86.7,31.16,2882.68,304.36,5197.18,5.5
236.4,69.29,5083.89,3109.65,1012.27,6.72
132.68,43.45,7117.43,1151.16,2961.38,19.6
97.55,7.18,2260.62,396.37,3264.76,3.45
160.92,44.36,7215.3,1792.93,2434.89,19.43
257.71,62.65,4244.99,3921.26,1157.83,8.88
81.19,5.47,2472.75,235.71,3612.06,3.03
182.54,41.28,7580.08,1435.02,2104.23,13.42
225.09,74.16,4666.83,2989.3,1097.7,8.64
72.48,18.95,2622.79,565.87,3073.49,4.35
82.11,15.82,2720.75,412.42,3574.69,3.0
247.23,67.8,4200.31,3131.13,1122.59,9.85
74.46,23.86,2951.11,493.99,3573.89,3.08
163.58,44.97,5789.03,1537.63,2418.5,18.07
260.44,61.41,4685.57,3255.39,1193.16,11.19
204.13,51.78,6248.08,1349.32,2498.04,17.27
69.4,14.23,1899.91,367.61,4514.38,2.81
85.08,10.28,2330.56,476.05,3895.67,3.3
130.35,48.43,6978.88,536.44,2335.13,13.54
96.06,20.0,2854.48,596.75,4039.06,3.97
59.67,18.49,2978.19,197.42,3536.22,1.21
240.42,60.37,5482.36,3270.54,1230.44,9.54
53.72,11.19,2817.53,376.34,4486.81,1.56
49.25,22.19,2333.96,487.65,4535.54,1.33
99.93,21.12,2240.07,436.91,3907.93,4.38
60.79,25.55,1874.79,443.64,4153.92,2.43
153.41,34.23,7566.64,957.52,2517.41,15.65
64.68,22.59,2635.18,216.95,4364.47,1.99
287.05,66.08,3480.38,4111.82,1062.2,4.66
265.35,67.57,4428.81,3002.14,1128.19,9.27
183.2,53.86,5713.95,1103.8,2695.46,13.39
251.94,63.96,4496.01,3355.61,1323.07,7.86
72.11,22.24,2289.75,428.64,4681.61,2.34
73.8,11.05,3098.68,465.18,3296.53,1.51
81.64,5.39,2309.04,258.85,5459.09,2.96
108.46,33.23,3239.74,245.53,4329.82,5.11
86.74,22.94,1801.72,112.89,4616.86,4.44
164.48,44.06,7228.44,1321.29,2525.71,16.45
172.98,49.95,6792.96,1327.77,2416.31,16.72
119.76,45.54,7880.77,640.04,3116.96,17.85
73.76,22.37,2215.21,405.33,3435.97,4.33
256.87,73.83,4243.07,3407.63,1104.34,10.95
90.39,26.33,2921.59,402.12,4144.59,2.0
163.47,25.61,7634.79,1349.47,2644.67,17.69
156.68,45.17,7448.74,1007.55,2737.11,13.92
231.81,67.98,4771.68,2815.93,1046.02,10.37
158.27,44.2,6483.02,1147.24,2225.14,20.27
98.45,10.4,2910.04,378.75,3719.33,0.88
102.95,23.87,2668.28,366.84,4067.08,2.2
87.67,5.54,2842.68,301.39,4215.43,3.86
246.15,71.53,4211.61,3484.95,1185.71,8.3
157.75,49.66,7061.48,1435.38,2850.88,13.48
95.96,17.65,2046.89,324.81,4327.95,2.14
87.29,22.26,1418.24,503.57,4524.24,1.95
51.75,22.33,1873.74,590.89,3831.55,2.25
143.73,37.2,7750.06,1466.3,2882.46,18.77
86.74,34.48,2396.08,514.58,3779.87,3.01
76.36,15.03,2576.76,411.35,4213.91,1.8
146.98,40.11,7492.62,1092.07,2604.9,18.79
57.28,26.71,2103.32,518.78,4371.83,3.03
228.75,65.38,4466.96,3663.3,982.8,11.23
158.04,39.18,6763.62,1346.36,2602.02,15.9
235.96,62.05,4538.68,3067.57,1360.0,9.46
238.67,68.96,4524.04,3639.03,1256.58,6.49
162.16,39.65,7191.4,1145.63,2405.94,10.78
140.88,50.91,8088.53,1337.33,2525.15,14.42
53.36,18.16,2139.76,467.11,3911.2,1.25
94.63,28.34,3225.36,529.22,3937.56,3.36
95.63,13.19,2738.2,358.37,4444.58,3.41
140.01,51.08,5163.06,1185.4,2719.56,15.87
251.16,64.43,4277.85,3511.33,1114.32,8.45
219.7,62.12,4071.96,2835.62,1204.03,6.06
54.03,18.35,2928.15,457.96,4196.32,3.15
71.75,9.51,2580.18,209.21,3645.28,2.77
65.27,19.13,2951.16,268.83,3889.73,3.18
126.52,41.42,4975.77,1625.88,2626.03,18.74
91.64,25.74,2113.5,241.73,3502.41,5.82
42.02,17.75,2838.75,539.24,4003.14,2.61
80.69,19.92,2385.28,500.33,3610.49,3.52
82.09,25.95,2734.12,495.4,2911.02,2.65
84.47,22.3,2584.27,361.56,3730.71,1.77
159.8,55.54,9510.2,1073.77,2501.01,14.31
109.3,14.9,3339.18,147.3,3251.28,2.4
67.15,19.77,2582.54,354.93,3439.23,1.55
108.32,20.36,2689.05,461.95,3834.95,1.62
149.32,37.01,6842.13,666.42,2201.26,12.48
144.77,45.6,7312.37,743.29,2679.17,13.41
54.76,14.82,2897.78,308.8,4215.82,4.27
91.09,13.36,2061.79,589.23,3658.18,2.9
67.52,14.09,1500.78,423.7,4438.09,3.41
90.43,17.11,1725.3,662.22,4377.83,3.49
78.84,21.57,2065.58,445.79,3404.8,3.16
78.84,10.27,1803.11,861.53,3378.88,2.36
69.24,22.49,2838.32,179.19,3915.07,3.45
149.37,42.67,8386.01,824.88,2644.56,14.65
154.61,50.37,6088.93,1004.99,2459.65,14.36
233.68,67.49,5338.22,3275.01,1097.84,8.56
259.48,63.56,4283.72,3573.93,1268.51,12.5
59.95,22.54,2037.43,364.64,3989.38,3.13
86.42,29.07,2400.37,479.65,4083.79,3.61
171.51,44.84,7381.09,744.64,2559.19,12.33
246.77,64.9,4174.68,2877.35,1228.66,10.22
67.76,4.63,2225.49,284.23,4675.51,2.26
190.71,22.02,6833.51,759.74,2018.03,17.56
255.01,66.55,4543.29,3130.71,1163.81,6.02
142.27,38.52,6355.3,1202.04,2707.88,16.44
61.17,14.16,2300.97,587.97,4055.44,3.03
